Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
111,九日,ここのか,"nine days, 9th of the month",<b>九日</b>に荷物が届きます。,<b>ここのか</b> に にもつ が とどきます,The package will arrive on the ninth.,九日[ここのか],<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。,<b>（　）</b>に 荷物[にもつ]が 届[とど]きます。
112,待つ,まつ,"wait, wait for",あなたが来るのを<b>待っています</b>。,あなた が くる の を <b>まって います</b>,I am waiting for you to come.,待[ま]つ,あなたが 来[く]るのを<b> 待[ま]っています</b>。,あなたが 来[く]るのを<b>（　）</b>。
113,二日,ふつか,"two days, 2nd of the month",私は<b>二日</b>待った。,わたし は <b>ふつか</b> まった,I waited two days.,二日[ふつか],私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。,私[わたし]は<b>（　）</b> 待[ま]った。
114,持つ,もつ,"have, possess",私は車を<b>持っています</b>。,わたし は くるま を <b>もって います</b>,I have a car.,持[も]つ,私[わたし]は 車[くるま]を<b> 持[も]っています</b>。,私[わたし]は 車[くるま]を<b>（　）</b>。
115,朝,あさ,morning,気持ちのいい<b>朝</b>です。,きもち の いい <b>あさ</b> です,It's a pleasant morning.,朝[あさ],気持[きも]ちのいい<b> 朝[あさ]</b>です。,気持[きも]ちのいい<b>（　）</b>です。
116,先生,せんせい,teacher,私は日本語の<b>先生</b>になりたいです。,わたし は にほんご の <b>せんせい</b> に なりたい です,I want to become a Japanese teacher.,先生[せんせい],私[わたし]は 日本語[にほんご]の<b> 先生[せんせい]</b>になりたいです。,私[わたし]は 日本語[にほんご]の<b>（　）</b>になりたいです。
117,電車,でんしゃ,train,私は<b>電車</b>で通学しています。,わたし は <b>でんしゃ</b> で つうがく して います,I go to school by train.,電車[でんしゃ],私[わたし]は<b> 電車[でんしゃ]</b>で 通学[つうがく]しています。,私[わたし]は<b>（　）</b>で 通学[つうがく]しています。
118,四,し,four,<b>四</b>月に大学に入学しました。,<b>し</b>がつ に だいがく に にゅうがく しました,I entered my university in April.,四[し],<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。,<b>（　）</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。
119,遠い,とおい,"far, distant",家から学校までは<b>遠い</b>です。,いえ から がっこう まで は <b>とおい</b> です,It's a long way from my house to the school.,遠[とお]い,家[いえ]から 学校[がっこう]までは<b> 遠[とお]い</b>です。,家[いえ]から 学校[がっこう]までは<b>（　）</b>です。
120,名前,なまえ,name,あなたの<b>名前</b>を教えてください。,あなた の <b>なまえ</b> を おしえて ください,Please tell me your name.,名前[なまえ],あなたの<b> 名前[なまえ]</b>を 教[おし]えてください。,あなたの<b>（　）</b>を 教[おし]えてください。
121,大学,だいがく,"university, college",<b>大学</b>に行ってもっと勉強したいです。,<b>だいがく</b> に いって もっと べんきょう したい です,I want to go to college and study more.,大学[だいがく],<b> 大学[だいがく]</b>に 行[い]ってもっと 勉強[べんきょう]したいです。,<b>（　）</b>に 行[い]ってもっと 勉強[べんきょう]したいです。
122,勉強,べんきょう,study,私は日本語を<b>勉強</b>しています。,わたし は にほんご を <b>べんきょう</b> して います,I'm studying Japanese.,勉強[べんきょう],私[わたし]は 日本語[にほんご]を<b> 勉強[べんきょう]</b>しています。,私[わたし]は 日本語[にほんご]を<b>（　）</b>しています。
123,強い,つよい,strong,今日は風が<b>強い</b>。,きょう は かぜ が <b>つよい</b>,There's a strong wind today.,強[つよ]い,今日[きょう]は 風[かぜ]が<b> 強[つよ]い</b>。,今日[きょう]は 風[かぜ]が<b>（　）</b>。
124,弱い,よわい,weak,その子は体が少し<b>弱い</b>。,その こ は からだ が すこし <b>よわい</b>,That child has a somewhat weak constitution.,弱[よわ]い,その 子[こ]は 体[からだ]が 少[すこ]し<b> 弱[よわ]い</b>。,その 子[こ]は 体[からだ]が 少[すこ]し<b>（　）</b>。
125,引く,ひく,"draw, pull",このドアは<b>引いて</b>ください。,この どあ は <b>ひいて</b> ください,Please pull this door open.,引[ひ]く,このドアは<b> 引[ひ]いて</b>ください。,このドアは<b>（　）</b>ください。
126,質問,しつもん,question,<b>質問</b>のある方はどうぞ。,<b>しつもん</b> の ある かた は どうぞ,Please feel free to ask any questions.,質問[しつもん],<b> 質問[しつもん]</b>のある 方[かた]はどうぞ。,<b>（　）</b>のある 方[かた]はどうぞ。
127,難しい,むずかしい,difficult,この本は<b>難しい</b>ですね。,この ほん は <b>むずかしい</b> です ね,This book is difficult.,難[むずか]しい,この 本[ほん]は<b> 難[むずか]しい</b>ですね。,この 本[ほん]は<b>（　）</b>ですね。
128,取る,とる,"take, get",テストでいい点を<b>取った</b>。,てすと で いい てん を <b>とった</b>,I got a good grade on the test.,取[と]る,テストでいい 点[てん]を<b> 取[と]った</b>。,テストでいい 点[てん]を<b>（　）</b>。
129,数,かず,number,グラスの<b>数</b>が足りません。,ぐらす の <b>かず</b> が たりません,There are not enough glasses.,数[かず],グラスの<b> 数[かず]</b>が 足[た]りません。,グラスの<b>（　）</b>が 足[た]りません。
130,二,に,two,その人には<b>二</b>回会った。,その ひと に は <b>に</b> かい あった,I met that person twice.,二[に],その 人[ひと]には<b> 二[に]</b> 回会[かい あ]った。,その 人[ひと]には<b>（　）</b> 回会[かい あ]った。
131,四,よん,four,ハワイは<b>四</b>回目です。,はわい は <b>よん</b>かいめ です,This is my fourth trip to Hawaii.,四[よん],ハワイは<b> 四[よん]</b> 回目[かいめ]です。,ハワイは<b>（　）</b> 回目[かいめ]です。
132,八,はち,eight,りんごを<b>八</b>個ください。,りんご を <b>はち</b>こ ください,Please give me eight apples.,八[はち],りんごを<b> 八[はち]</b> 個[こ]ください。,りんごを<b>（　）</b> 個[こ]ください。
133,勝つ,かつ,win,今日はヤンキースが<b>勝った</b>。,きょう は やんきーす が <b>かった</b>,The Yankees won today.,勝[か]つ,今日[きょう]はヤンキースが<b> 勝[か]った</b>。,今日[きょう]はヤンキースが<b>（　）</b>。
134,負ける,まける,lose,私たちのチームはその試合で<b>負けた</b>。,わたしたち の ちーむ は その しあい で <b>まけた</b>,Our team lost the game.,負[ま]ける,私[わたし]たちのチームはその 試合[しあい]で<b> 負[ま]けた</b>。,私[わたし]たちのチームはその 試合[しあい]で<b>（　）</b>。
135,本当に,ほんとうに,"really, truly",あなたが<b>本当に</b>好きです。,あなた が <b>ほんとうに</b> すき です,I really like you.,本当[ほんとう]に,あなたが<b> 本当[ほんとう]に</b> 好[す]きです。,あなたが<b>（　）</b> 好[す]きです。
136,他,ほか,other,<b>他</b>に方法がありません。,<b>ほか</b> に ほうほう が ありません,There's no other way.,他[ほか],<b> 他[ほか]</b>に 方法[ほうほう]がありません。,<b>（　）</b>に 方法[ほうほう]がありません。
137,時計,とけい,"clock, watch",<b>時計</b>を見たらちょうど3時だった。,<b>とけい</b> を みたら ちょうど さんじ だった,I looked at the clock and it was exactly three.,時計[とけい],<b> 時計[とけい]</b>を 見[み]たらちょうど 3時[さんじ]だった。,<b>（　）</b>を 見[み]たらちょうど 3時[さんじ]だった。
138,八つ,やっつ,eight (things),あの家には時計が<b>八つ</b>あります。,あの いえ に は とけい が <b>やっつ</b> あります,There are eight clocks in that house.,八[やっ]つ,あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。,あの 家[いえ]には 時計[とけい]が<b>（　）</b>あります。
139,払う,はらう,pay,私が<b>払いましょう</b>。,わたし が <b>はらいましょう</b>,Let me pay for that.,払[はら]う,私[わたし]が<b> 払[はら]いましょう</b>。,私[わたし]が<b>（　）</b>。
140,千,せん,thousand,<b>千</b>円貸してください。,<b>せん</b>えん かして ください,Please lend me 1000 yen.,千[せん],<b> 千[せん]</b> 円貸[えん か]してください。,<b>（　）</b> 円貸[えん か]してください。
141,四日,よっか,"four days, 4th of the month",新学期は来月の<b>四日</b>からです。,しんがっき は らいげつ の <b>よっか</b> から です,The new school term starts on the fourth of next month.,四日[よっか],新学期[しんがっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。,新学期[しんがっき]は 来月[らいげつ]の<b>（　）</b>からです。
142,買う,かう,buy,郵便局で切手を<b>買いました</b>。,ゆうびんきょく で きって を <b>かいました</b>,I bought a stamp at the post office.,買[か]う,郵便局[ゆうびんきょく]で 切手[きって]を<b> 買[か]いました</b>。,郵便局[ゆうびんきょく]で 切手[きって]を<b>（　）</b>。
143,十,じゅう,ten,その子は指で<b>十</b>数えました。,その こ は ゆび で <b>じゅう</b> かぞえました,The child counted to ten on her fingers.,十[じゅう],その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。,その 子[こ]は 指[ゆび]で<b>（　）</b> 数[かぞ]えました。
144,要る,いる,"need, require",予約は<b>要りません</b>。,よやく は <b>いりません</b>,Reservations are not required.,要[い]る,予約[よやく]は<b> 要[い]りません</b>。,予約[よやく]は<b>（　）</b>。
145,忘れる,わすれる,"forget, leave behind",約束を<b>忘れないで</b>ください。,やくそく を <b>わすれない で</b> ください,Please don't forget your promise.,忘[わす]れる,約束[やくそく]を<b> 忘[わす]れないで</b>ください。,約束[やくそく]を<b>（　）</b>ください。
146,乗る,のる,"ride, take",駅からはタクシーに<b>乗って</b>ください。,えき からは たくしー に <b>のって</b> ください,Please take a taxi from the station.,乗[の]る,駅[えき]からはタクシーに<b> 乗[の]って</b>ください。,駅[えき]からはタクシーに<b>（　）</b>ください。
147,着る,きる,"wear, put on",今日はスーツを<b>着ています</b>。,きょう は すーつ を <b>きて います</b>,I'm wearing a suit today.,着[き]る,今日[きょう]はスーツを<b> 着[き]ています</b>。,今日[きょう]はスーツを<b>（　）</b>。
148,そこ,そこ,there,<b>そこ</b>に座ってください。,<b>そこ</b> に すわって ください,Please sit there.,そこ,<b>そこ</b>に 座[すわ]ってください。,<b>（　）</b>に 座[すわ]ってください。
149,次,つぎ,next,<b>次</b>はいつ会いましょうか。,<b>つぎ</b> は いつ あいましょう か,When shall we meet again?,次[つぎ],<b> 次[つぎ]</b>はいつ 会[あ]いましょうか。,<b>（　）</b>はいつ 会[あ]いましょうか。
150,週,しゅう,week,その次の<b>週</b>は空いてますか。,その つぎ の <b>しゅう</b> は あいてます か,Are you free the following week?,週[しゅう],その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。,その 次[つぎ]の<b>（　）</b>は 空[あ]いてますか。
